category_id	source	title
adult_core	wikidata:Q471839	Alien: Covenant – Prologue: The Crossing
adult_core	wikidata:Q471839	Alien: Harvest
adult_core	wikidata:Q471839	Alien: Night Shift
adult_core	wikidata:Q471839	Alien: Ore
adult_core	wikidata:Q471839	Alien: Romulus
adult_core	wikidata:Q471839	Alien: Specimen
adult_core	wikidata:Q471839	Alienator
adult_core	wikidata:Q471839	Alienoid
adult_core	wikidata:Q471839	Alienoid 2
adult_core	wikidata:Q471839	Aliens
adult_core	wikidata:Q471839	Aliens Abducted My Parents and Now I Feel Kinda Left Out
adult_core	wikidata:Q471839	Aliens in the Attic
adult_core	wikidata:Q471839	Aliens in the Wild, Wild West
adult_core	wikidata:Q471839	Aliens vs Avatars
adult_core	wikidata:Q471839	Aliens vs. Predator: Requiem
adult_core	wikidata:Q471839	Aliens: Zone of Silence
adult_core	wikidata:Q471839	Alita: Battle Angel
adult_core	wikidata:Q471839	Alive in Joburg
adult_core	wikidata:Q471839	All Esper Dayo! SP
adult_core	wikidata:Q471839	All Monsters Attack
adult_core	wikidata:Q471839	All Superheroes Must Die
adult_core	wikidata:Q471839	All Tomorrow's Parties
adult_core	wikidata:Q471839	All-Star Superman
adult_core	wikidata:Q471839	Allegro
adult_core	wikidata:Q471839	Alligator
adult_core	wikidata:Q471839	Alligator II – The Mutation
adult_core	wikidata:Q471839	Almost Human
adult_core	wikidata:Q471839	Alone in Space
adult_core	wikidata:Q471839	Alone in the Dark
adult_core	wikidata:Q471839	Alpha Code
adult_core	wikidata:Q471839	Alpha Gang
adult_core	wikidata:Q471839	Alpha Girls
adult_core	wikidata:Q471839	Alphaville
adult_core	wikidata:Q471839	Alraune
adult_core	wikidata:Q471839	Alraune, die Henkerstochter, genannt die rote Hanne
adult_core	wikidata:Q471839	Altered
adult_core	wikidata:Q471839	Altered Species
adult_core	wikidata:Q471839	Altered States
adult_core	wikidata:Q471839	Altitude
adult_core	wikidata:Q471839	Amanda and the Alien
adult_core	wikidata:Q471839	Amazing
adult_core	wikidata:Q471839	Amazon Women on the Moon
adult_core	wikidata:Q471839	America: The Motion Picture
adult_core	wikidata:Q471839	American Exorcist
adult_core	wikidata:Q471839	American Hero
adult_core	wikidata:Q471839	American Ninja 2: The Confrontation
adult_core	wikidata:Q471839	American Ninja 3: Blood Hunt
adult_core	wikidata:Q471839	American Warships
adult_core	wikidata:Q471839	Amphibian Man
adult_core	wikidata:Q471839	An American Hippie in Israel
adult_core	wikidata:Q471839	An Imperfect Solution: A Tale of the Re-Animator
adult_core	wikidata:Q471839	And You Thought Your Parents Were Weird
adult_core	wikidata:Q471839	Andover
adult_core	wikidata:Q471839	Android
adult_core	wikidata:Q471839	Android Apocalypse
adult_core	wikidata:Q471839	Android Cop
adult_core	wikidata:Q471839	Android Insurrection
adult_core	wikidata:Q471839	Android of Notre Dame
adult_core	wikidata:Q471839	Android Re-Enactment
adult_core	wikidata:Q471839	Androids Dream
adult_core	wikidata:Q471839	Andromedia
adult_core	wikidata:Q471839	Andron
adult_core	wikidata:Q471839	Andy Colby's Incredible Adventure
adult_core	wikidata:Q471839	Ang Panday
adult_core	wikidata:Q471839	Angel of H.E.A.T.
adult_core	wikidata:Q471839	Angels Fallen
adult_core	wikidata:Q471839	Angry Video Game Nerd: The Movie
adult_core	wikidata:Q471839	Anhedonia
adult_core	wikidata:Q471839	Animal
adult_core	wikidata:Q471839	Animal Room
adult_core	wikidata:Q471839	Animalia
adult_core	wikidata:Q471839	Anna to the Infinite Power
adult_core	wikidata:Q471839	Annihilation
adult_core	wikidata:Q471839	Annihilator
adult_core	wikidata:Q471839	Anomaly
adult_core	wikidata:Q471839	Anonymous Rex
adult_core	wikidata:Q471839	Another Earth
adult_core	wikidata:Q471839	Another Wild Idea
adult_core	wikidata:Q471839	Ant-Man
adult_core	wikidata:Q471839	Ant-Man and the Wasp
adult_core	wikidata:Q471839	Ant-Man and the Wasp: Quantumania
adult_core	wikidata:Q471839	Antariksham 9000 KMPH
adult_core	wikidata:Q471839	Antarjal
adult_core	wikidata:Q471839	Anti-Clock
adult_core	wikidata:Q471839	Antibirth
adult_core	wikidata:Q471839	Antibody
adult_core	wikidata:Q471839	Antidote
adult_core	wikidata:Q471839	Antitrust
adult_core	wikidata:Q471839	Antiviral
adult_core	wikidata:Q471839	Anukul
adult_core	wikidata:Q471839	Any Day Now
adult_core	wikidata:Q471839	Anya
adult_core	wikidata:Q471839	Aparelho Voador a Baixa Altitude
adult_core	wikidata:Q471839	Ape vs. Monster
adult_core	wikidata:Q471839	Apogee of Fear
adult_core	wikidata:Q471839	Apollo 10½
adult_core	wikidata:Q471839	Apollo 18
adult_core	wikidata:Q471839	Apparatspott - Dat mokt wie gistern
adult_core	wikidata:Q471839	Apparatspott - Gerangel in Ruum un Tied
adult_core	wikidata:Q471839	Appellation
adult_core	wikidata:Q471839	Appleseed
adult_core	wikidata:Q471839	Appleseed Ex Machina
adult_core	wikidata:Q471839	Approaching the Unknown
adult_core	wikidata:Q471839	Appuchi Gramam
adult_core	wikidata:Q471839	Aquaman
adult_core	wikidata:Q471839	Aquaman and the Lost Kingdom
adult_core	wikidata:Q471839	Aquanauts
adult_core	wikidata:Q471839	Aquarium of the Dead
adult_core	wikidata:Q471839	Arachnid
adult_core	wikidata:Q471839	Arachnophobia
adult_core	wikidata:Q471839	Arañas Infernales
adult_core	wikidata:Q471839	Arcade
adult_core	wikidata:Q471839	Arcadia of My Youth
adult_core	wikidata:Q471839	Archive
adult_core	wikidata:Q471839	Arco
adult_core	wikidata:Q471839	Arctic Void
adult_core	wikidata:Q471839	Area 51
adult_core	wikidata:Q471839	Area Q
adult_core	wikidata:Q471839	Areal 618 – De forviste
adult_core	wikidata:Q471839	Arei no Kagami
adult_core	wikidata:Q471839	Arena
adult_core	wikidata:Q471839	Ares III: Refocused
adult_core	wikidata:Q471839	Argoman the Fantastic Superman
adult_core	wikidata:Q471839	Aria the Avvenire
adult_core	wikidata:Q471839	Ark
adult_core	wikidata:Q471839	Armageddon
adult_core	wikidata:Q471839	Armitage III: Dual-Matrix
adult_core	wikidata:Q471839	Armitage III: Poly Matrix
adult_core	wikidata:Q471839	Army of Darkness
adult_core	wikidata:Q471839	Army of Frankensteins
adult_core	wikidata:Q471839	Around the World Under the Sea
adult_core	wikidata:Q471839	ARQ
adult_core	wikidata:Q471839	Arrest Bulldog Drummond
adult_core	wikidata:Q471839	Arrival
adult_core	wikidata:Q471839	Asesinos, S.A.
adult_core	wikidata:Q471839	Ashman
adult_core	wikidata:Q471839	Asiris Nuna
adult_core	wikidata:Q471839	Assassin 33 A.D.
adult_core	wikidata:Q471839	Assassin's Creed
adult_core	wikidata:Q471839	Assassination Classroom
adult_core	wikidata:Q471839	Assault Girls
adult_core	wikidata:Q471839	Assault on Dome 4
adult_core	wikidata:Q471839	Assimilate
adult_core	wikidata:Q471839	Asteroid
adult_core	wikidata:Q471839	Asteroid City
adult_core	wikidata:Q471839	Astro Boy
adult_core	wikidata:Q471839	Astro Boy: Mighty Atom - Visitor of 100,000 Light Years, IGZA
adult_core	wikidata:Q471839	Astronaut: The Last Push
adult_core	wikidata:Q471839	At the Earth's Core
adult_core	wikidata:Q471839	Ataque de Pánico!
adult_core	wikidata:Q471839	Athisayan
adult_core	wikidata:Q471839	Atlantic Rim 2
adult_core	wikidata:Q471839	Atlantis, the Lost Continent
adult_core	wikidata:Q471839	Atlantis: Milo's Return
adult_core	wikidata:Q471839	Atlantis: The Lost Empire
adult_core	wikidata:Q471839	Atlas
adult_core	wikidata:Q471839	Atlas Shrugged Part III: Who Is John Galt?
adult_core	wikidata:Q471839	Atlas Shrugged: Part I
adult_core	wikidata:Q471839	Atlas Shrugged: Part II
